"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Collection Time","SUCCESS","2023-07-17T15:35:21.3Z[Etc/UTC]","0.0","58.73"
"Modify Order","Add Tests","SUCCESS","2023-07-17T15:36:20.079Z[Etc/UTC]","0.0","41.03"
"Modify Order","Verification","SUCCESS","2023-07-17T15:37:01.139Z[Etc/UTC]","0.0","10.02"
"Non Conformity workflow","Search Non Conformity report","SUCCESS","2023-07-17T15:37:11.209Z[Etc/UTC]","0.0","16.67"
"Patient Entry","Patient Search","SUCCESS","2023-07-17T15:37:27.924Z[Etc/UTC]","0.0","63.38"
"Patient Entry","Patient Information","SUCCESS","2023-07-17T15:38:31.354Z[Etc/UTC]","0.0","50.36"
"Patient Entry","Overall Page","SUCCESS","2023-07-17T15:39:21.757Z[Etc/UTC]","0.0","34.53"
"Patient Entry","Verification","SUCCESS","2023-07-17T15:39:56.328Z[Etc/UTC]","0.0","14.55"
"Patient Report","Patient Report With no result yet","SUCCESS","2023-07-17T15:40:10.909Z[Etc/UTC]","0.0","15.98"
"Patient Report","Patient Report With Partial result reported","SUCCESS","2023-07-17T15:40:26.942Z[Etc/UTC]","0.0","54.9"
"Referral Work Flow","Register test requests sent electronically from the Flu Clinic","SUCCESS","2023-07-17T15:43:20.436Z[Etc/UTC]","0.0","10.52"
"Results Entry","Accessing Results Entry","SUCCESS","2023-07-17T15:43:30.986Z[Etc/UTC]","0.0","14.55"
"Results Entry","Searching for test result entry forms","SUCCESS","2023-07-17T15:43:45.568Z[Etc/UTC]","0.0","22.93"
"Results Entry","Entering Test Results","SUCCESS","2023-07-17T15:44:35.341Z[Etc/UTC]","0.0","18.26"
"Results Entry","Overall Page","SUCCESS","2023-07-17T15:44:53.648Z[Etc/UTC]","0.0","51.7"
"Results Entry","Accept As Is functionality","SUCCESS","2023-07-17T15:45:56.264Z[Etc/UTC]","0.0","14.6"
"Results Entry","Verification","SUCCESS","2023-07-17T15:46:10.897Z[Etc/UTC]","0.0","8.15"
"Results Entry","Changing Results","SUCCESS","2023-07-17T15:46:19.09Z[Etc/UTC]","0.0","11.16"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-07-17T15:46:30.319Z[Etc/UTC]","0.0","6.59"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-07-17T15:46:36.947Z[Etc/UTC]","0.0","32.0"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-07-17T15:47:08.986Z[Etc/UTC]","0.0","16.26"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-07-17T15:47:25.283Z[Etc/UTC]","0.0","15.18"
"Test Management Feature","Verify Added new testName","SUCCESS","2023-07-17T15:47:56.939Z[Etc/UTC]","0.0","20.83"
"Test Management Feature","Modify test details","SUCCESS","2023-07-17T15:48:17.812Z[Etc/UTC]","0.0","52.09"
"User management Feature","Create new user","SUCCESS","2023-07-17T15:49:09.944Z[Etc/UTC]","0.0","19.78"
"Validation","Validation","SUCCESS","2023-07-17T15:49:29.756Z[Etc/UTC]","0.0","83.38"
"Validation","Overall Page","SUCCESS","2023-07-17T15:50:53.171Z[Etc/UTC]","0.0","17.81"
"Validation","Verification","SUCCESS","2023-07-17T15:51:11.013Z[Etc/UTC]","0.0","14.24"
"WorkPlan Feature","Work plan by Test","SUCCESS","2023-07-17T15:51:25.292Z[Etc/UTC]","0.0","14.47"
"WorkPlan Feature","Work plan by Panel","SUCCESS","2023-07-17T15:51:39.798Z[Etc/UTC]","0.0","10.22"
"WorkPlan Feature","Work plan by Unit","SUCCESS","2023-07-17T15:51:50.054Z[Etc/UTC]","0.0","9.06"
"WorkPlan Feature","Verification","SUCCESS","2023-07-17T15:51:59.168Z[Etc/UTC]","0.0","64.01"
