"Story","Title","Result","Date","Stability","Duration (s)"
"Results Entry","Searching for test result entry forms","SUCCESS","2023-03-20T16:51:35.846Z[Etc/UTC]","0.0","23.05"
"Results Entry","Results Entry Set-up","SUCCESS","2023-03-20T16:51:58.934Z[Etc/UTC]","0.0","60.84"
"Results Entry","Entering Test Results","SUCCESS","2023-03-20T16:52:59.821Z[Etc/UTC]","0.0","17.06"
"Results Entry","Overall Page","SUCCESS","2023-03-20T16:53:16.924Z[Etc/UTC]","0.0","40.47"
"Results Entry","Accept As Is functionality","SUCCESS","2023-03-20T16:54:09.056Z[Etc/UTC]","0.0","15.06"
"Results Entry","Verification","SUCCESS","2023-03-20T16:54:24.152Z[Etc/UTC]","0.0","8.7"
"Results Entry","Changing Results","SUCCESS","2023-03-20T16:54:32.894Z[Etc/UTC]","0.0","11.17"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-03-20T16:54:44.168Z[Etc/UTC]","0.0","6.65"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-03-20T16:54:50.862Z[Etc/UTC]","0.0","31.91"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-03-20T16:55:22.814Z[Etc/UTC]","0.0","15.23"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-03-20T16:55:38.081Z[Etc/UTC]","0.0","15.15"
"Test Management Feature","Add new tests","ERROR","2023-03-20T16:55:53.275Z[Etc/UTC]","0.0","30.87"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-20T16:56:24.186Z[Etc/UTC]","0.0","19.44"
"Test Management Feature","Modify test details","SUCCESS","2023-03-20T16:56:43.672Z[Etc/UTC]","0.0","49.91"
"User management Feature","Create new user","SUCCESS","2023-03-20T16:57:33.625Z[Etc/UTC]","0.0","19.63"
"Validation","Validation","SUCCESS","2023-03-20T16:57:53.303Z[Etc/UTC]","0.0","90.81"
"Validation","Overall Page","SUCCESS","2023-03-20T16:59:24.156Z[Etc/UTC]","0.0","17.19"
"Validation","Verification","SUCCESS","2023-03-20T16:59:41.391Z[Etc/UTC]","0.0","13.2"
"WorkPlan Feature","Work plan by Test","SUCCESS","2023-03-20T16:59:54.628Z[Etc/UTC]","0.0","14.28"
"WorkPlan Feature","Work plan by Panel","SUCCESS","2023-03-20T17:00:08.952Z[Etc/UTC]","0.0","9.06"
"WorkPlan Feature","Work plan by Unit","SUCCESS","2023-03-20T17:00:18.048Z[Etc/UTC]","0.0","8.25"
"WorkPlan Feature","Verification","SUCCESS","2023-03-20T17:00:26.34Z[Etc/UTC]","0.0","62.56"
